"addresses","lat","long"
"SÕLE, Tallinn",59.4435337,24.7022813
"Sõpruse pst, Tallinn",59.4103822,24.7016851
"Sõpruse pst., Tallinn",59.4103822,24.7016851
"Sõpruse puiestee, Tallinn",59.4103822,24.7016851
"Sõpruse, Tallinn",59.4103822,24.7016851
"Sõstra, Tallinn",59.4239061,24.7026245
"Särje, Tallinn",59.3797194,24.6420566
"Sääse, Tallinn",59.4108698,24.694032
"Söödi, Tallinn",59.4428419,24.7107708
"Süda, Tallinn",59.4291538,24.7465272
"Sügise, Tallinn",59.4361132,24.7311143
"Süsta, Tallinn",59.4591469,24.6667652
"Sütiste tee, Tallinn",59.3975564,24.689912
"Sütiste, Tallinn",59.3975564,24.689912
"Taara, Tallinn",59.3716635,24.6683446
"Taime, Tallinn",59.4436314,24.7123015
"Tallinn, Tallinn",59.4369608,24.7535746
"Tallinna mnt, Tallinn",59.3906274,24.7126104
"Tallinna mnt., Tallinn",59.3906274,24.7126104
"Tallinna tn, Tallinn",59.4369608,24.7535746
"Tallinna tänav, Tallinn",59.4369608,24.7535746
"Tallinna, Tallinn",59.4369608,24.7535746
"Taludevahe , Tallinn",59.4384725,24.5695679
"Taludevahe tn, Tallinn",59.4384725,24.5695679
"Taludevahe, Tallinn",59.4384725,24.5695679
"Tamme, Tallinn",59.455839,24.8239608
"Tammede pst, Tallinn",59.3549554,24.626642
"Tammsaare tee , Tallinn",59.4035296,24.7024616
"Tammsaare tee, Tallinn",59.4035296,24.7024616
"Tammsaare, Tallinn",59.4067684,24.6874881
"Tartu mnt, Tallinn",59.4040743,24.7922003
"TARTU MNT, Tallinn",59.4040743,24.7922003
"Tartu mnt., Tallinn",59.4040743,24.7922003
"TARTU mnt., Tallinn",59.4040743,24.7922003
"Tatari, Tallinn",59.4301122,24.7472152
"Tedre, Tallinn",59.4185959,24.7169322
"Tehnika tn, Tallinn",59.4260511,24.7278624
"TEHNIKA TN., Tallinn",59.4260511,24.7278624
"Tehnika, Tallinn",59.4260511,24.7278624
"Telliskivi, Tallinn",59.4392816,24.7303363
"Terase, Tallinn",59.436219,24.7709261
"Timuti, Tallinn",59.4408337,24.716178
"Tina, Tallinn",59.4364207,24.7730161
"Tindi, Tallinn",59.4506704,24.5849438
"Tohu, Tallinn",59.4542928,24.8426936
"Tondi Marsi tn, Tallinn",59.4044079,24.7218532
"Tondi, Tallinn",59.4076879,24.725061
"TONDI, Tallinn",59.4076879,24.725061
"Tondiraba, Tallinn",59.4421058,24.858923
"Toom-Kooli, Tallinn",59.4369672,24.7386152
"Toom-Kuninga, Tallinn",59.4280651,24.736093
"Toompuiestee, Tallinn",59.436742,24.733168
"Tornimäe, Tallinn",59.4335387,24.7609789
